longitude,latitude
-74.0104,40.5765
NULL,NULL
-73.9112,40.6731
-73.8063,40.6910
-73.7754,40.7012
-73.9306,40.6741
-73.9411,40.8009
-73.9848,40.6869
-73.8237,40.7139
NULL,NULL
-73.7846,40.7760
-73.8405,40.6617
-73.9123,40.8447
-73.9681,40.6299
-73.7716,40.6680
-73.9119,40.8514
NULL,NULL
-73.9034,40.6984
-73.9391,40.7522
-73.8099,40.6914
-73.8918,40.8619
-73.8875,40.8510
-73.9056,40.8532
-74.0054,40.6567
-73.9702,40.6300
-73.9127,40.7072
-73.8129,40.7651
-73.9451,40.5812
-73.8406,40.6999
-73.8699,40.8249
-73.8905,40.8489
-73.9419,40.8228
-73.9838,40.7215
-73.7933,40.6957
-73.9192,40.6378
NULL,NULL
-73.9461,40.7411
-73.9689,40.6417
-73.8862,40.6713
-73.8643,40.7559
-74.2377,40.5166
-73.8076,40.7149
-74.1030,40.6158
NULL,NULL
-73.8644,40.8688
NULL,NULL
