ROW_ID,LONGITUDE,LATITUDE,CRASH_TIME
34076,-73.8762,40.7716,17:10:00
33418,-73.8846,40.8323,21:50:00
33345,-73.7840,40.7033,22:01:00
33110,-73.9963,40.6997,13:30:00
36493,-73.7522,40.6945,06:20:00
33070,-73.8626,40.6864,18:45:00
33043,-73.8422,40.7641,19:10:00
32914,-73.7614,40.7005,00:20:00
32833,NULL,NULL,21:00:00
32412,-73.9929,40.6087,01:10:00
32613,-73.9879,40.6881,15:10:00
32646,-73.7500,40.7268,17:20:00
32722,-73.9635,40.6514,22:07:00
32461,-73.8571,40.6896,02:40:00
32392,-73.8918,40.7203,10:30:00
33313,-73.9014,40.8766,10:20:00
32640,-73.9390,40.8439,12:45:00
32411,NULL,NULL,03:34:00
33157,-73.9247,40.8124,21:00:00
32398,-73.8619,40.7631,14:40:00
32404,-73.8538,40.7550,18:17:00
32118,-73.7884,40.6820,20:36:00
31820,-73.9807,40.7013,00:59:00
32998,-73.8422,40.7623,06:25:00
31885,-73.8584,40.7350,22:06:00
31662,-73.8387,40.7000,19:15:00
31479,-73.8470,40.7801,20:05:00
31411,-73.7463,40.6913,19:41:00
31248,-73.9313,40.6606,01:40:00
32549,-73.9141,40.6988,19:00:00
31450,-73.9719,40.6764,01:01:00
31164,-73.8985,40.8132,00:03:00
31644,-74.1249,40.6317,08:40:00
31337,-73.8697,40.6822,17:45:00
31344,-73.7551,40.6085,00:20:00
31354,-73.8688,40.7554,22:29:00
31041,-73.9451,40.7402,10:07:00
31054,-73.8959,40.7376,17:05:00
32364,NULL,NULL,00:15:00
31316,-74.2135,40.5511,00:58:00
34395,-74.1146,40.6348,01:10:00
32747,-73.8759,40.8308,16:20:00
31837,-73.9458,40.7237,00:00:00
31018,-73.9136,40.7615,19:55:00
31699,-74.0023,40.6019,20:33:00
30846,-73.8634,40.8370,06:30:00
30747,-74.0244,40.6400,21:12:00
30578,-73.8509,40.7376,00:15:00
31646,-73.9233,40.8126,16:48:00
30906,-73.8234,40.7458,05:48:00
30433,-73.9360,40.6195,00:29:00
30316,-73.8892,40.7609,01:30:00
30430,-74.0098,40.6039,21:50:00
30571,-74.1217,40.6321,23:11:00
30386,-73.9052,40.8247,23:10:00
31900,-73.9398,40.6950,00:20:00
30083,-73.9716,40.6794,04:03:00
30425,-73.8388,40.8813,23:10:00
31420,-73.9395,40.7986,16:00:00
30372,-73.8714,40.8366,09:15:00
30407,-73.7537,40.6095,22:04:00
30126,-73.9200,40.8658,04:10:00
29883,-73.8962,40.7487,02:00:00
30574,-73.8633,40.6753,14:30:00
29878,-73.8054,40.6768,20:35:00
30939,NULL,NULL,21:35:00
30150,-73.7795,40.6784,02:20:00
29772,-73.8262,40.8211,22:35:00
29690,-73.9037,40.7449,16:25:00
29597,-73.8613,40.7449,20:05:00
28742,-73.9477,40.6697,00:00:00
28965,-74.0152,40.7085,22:26:00
28975,-73.9147,40.7134,22:25:00
29018,-73.9317,40.6869,20:30:00
28884,-73.9444,40.8347,01:20:00
28738,-73.9123,40.6994,20:30:00
28917,-73.9245,40.8283,17:32:00
29835,NULL,NULL,03:08:00
29189,-74.1428,40.6261,23:22:00
28675,-73.7536,40.6906,21:45:00
29825,-74.1977,40.5589,21:55:00
28446,-73.8969,40.7490,00:05:00
28541,-73.8420,40.8885,22:08:00
29091,-73.8060,40.7054,22:20:00
31371,-73.7939,40.6913,23:09:00
28313,-73.9236,40.8094,03:20:00
28731,-73.9553,40.6701,00:05:00
28229,-73.9386,40.7041,17:44:00
29797,-73.9850,40.7552,05:30:00
28174,-73.9425,40.6909,02:17:00
29040,-73.9511,40.8001,00:00:00
28036,-73.8389,40.8816,01:55:00
29371,-73.7365,40.7668,11:40:00
28874,-73.9226,40.6819,16:24:00
28015,-73.7546,40.6997,23:00:00
28140,NULL,NULL,15:50:00
27667,-73.8019,40.6760,17:30:00
29241,-73.9169,40.7429,20:00:00
27419,-73.8036,40.6705,03:45:00
29358,-73.9256,40.7645,03:08:00
27762,-73.9557,40.6447,06:33:00
27244,-73.9522,40.6570,02:00:00
28109,-73.8823,40.8231,04:00:00
28215,NULL,NULL,04:00:00
27598,-73.9381,40.6514,21:50:00
27316,-73.9017,40.8103,20:15:00
29704,-73.9547,40.6791,18:40:00
27261,-73.8636,40.8795,04:45:00
27473,-73.9774,40.7896,21:59:00
27731,-73.8878,40.8252,21:24:00
27014,-73.8574,40.8934,02:05:00
27325,-73.7376,40.7684,23:08:00
27241,-73.8795,40.6925,22:37:00
27548,NULL,NULL,19:47:00
27510,-73.9573,40.7743,07:35:00
27029,-73.7542,40.7170,21:45:00
27072,-73.8063,40.6808,19:12:00
26846,-73.9625,40.6528,01:19:00
27478,-73.9123,40.7194,00:05:00
26814,-73.8432,40.7817,04:20:00
27496,-73.9497,40.6785,20:00:00
27152,-73.7880,40.7010,06:18:00
27199,-73.7826,40.7054,04:50:00
26728,-73.9679,40.6932,17:40:00
26917,-73.8781,40.6433,18:15:00
26818,-73.8897,40.6338,21:30:00
27372,-73.7571,40.7223,22:15:00
26582,NULL,NULL,21:25:00
26723,-73.8817,40.8533,05:30:00
36228,-73.9821,40.6983,00:30:00
26474,-73.8897,40.8437,22:30:00
26095,-73.9678,40.6959,17:56:00
26950,-73.8709,40.7515,23:45:00
27075,-73.9372,40.6938,23:09:00
26320,-73.8906,40.8201,22:32:00
26060,-73.9281,40.8325,22:00:00
27657,-73.8878,40.8252,21:44:00
25661,-73.9368,40.8438,22:18:00
25633,-73.9466,40.8165,03:20:00
25792,-74.1172,40.5781,00:00:00
27295,-73.8460,40.8193,22:30:00
25230,-73.9283,40.7365,20:46:00
25247,-74.0232,40.6353,22:00:00
25722,-74.0940,40.6092,21:00:00
25858,-73.9509,40.6361,21:30:00
26355,-73.8761,40.7565,22:45:00
26408,-73.8780,40.7618,22:50:00
26188,-73.8843,40.7550,22:15:00
27895,-73.8619,40.7578,21:40:00
25155,-73.8072,40.6914,22:33:00
25680,-73.9350,40.7378,21:10:00
24641,-74.2463,40.5144,01:59:00
24143,-73.8991,40.7060,04:05:00
24115,-73.8829,40.8491,00:15:00
24485,-73.9215,40.6960,16:11:00
25647,-73.8164,40.8324,18:50:00
24256,-73.7670,40.7132,18:30:00
24114,-73.8411,40.8281,15:55:00
24821,-73.9437,40.8153,03:17:00
25071,-73.9675,40.7929,21:41:00
24461,-73.8528,40.8740,11:00:00
24089,-73.9083,40.7185,21:00:00
24147,-73.8064,40.5881,08:00:00
30068,-73.8701,40.8186,22:00:00
23971,-73.9102,40.7792,02:32:00
23538,-73.7777,40.7221,13:08:00
26543,-73.9506,40.6769,01:29:00
23861,-74.0013,40.7482,00:55:00
23959,-73.9849,40.6968,21:00:00
25642,-73.8666,40.6943,03:20:00
24425,-73.8183,40.6949,21:58:00
24360,-73.9560,40.8188,21:24:00
23523,NULL,NULL,21:18:00
23513,-73.9930,40.5900,01:10:00
26552,-73.8613,40.8864,12:30:00
23271,-73.9888,40.7369,20:40:00
23511,-74.1930,40.5883,20:57:00
23581,-74.0687,40.6069,20:15:00
22846,-73.7367,40.6940,21:56:00
23386,-73.9961,40.5936,01:10:00
22925,-73.9484,40.5837,22:29:00
22807,NULL,NULL,02:55:00
22496,NULL,NULL,05:40:00
22963,-73.9521,40.7872,04:35:00
22392,-73.7920,40.7633,02:15:00
22289,-74.0177,40.6164,02:00:00
23118,-73.9067,40.7533,01:03:00
22745,-73.8270,40.8478,19:20:00
23865,-73.9167,40.6196,20:25:00
22934,-73.9400,40.6807,02:00:00
22419,-73.9609,40.6228,22:17:00
27641,-73.8823,40.6524,04:50:00
23060,-73.9127,40.6009,18:30:00
